,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
25,Ashburton,61A Victory Bvd,3,t,1610000.0,S,Jellis,1/04/2017,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
26,Ashwood,43 Douglas St,4,h,1435000.0,S,Ray,1/04/2017,3147,Southern Metropolitan,2894,10.2,Monash City Council
27,Aspendale,4 Jirrah Ct,4,h,1431000.0,S,hockingstuart,1/04/2017,3195,South-Eastern Metropolitan,2824,21.5,Kingston City Council
28,Aspendale Gardens,8 Mangrove Ct,4,h,996000.0,S,Ray,1/04/2017,3195,South-Eastern Metropolitan,2243,21.5,Kingston City Council
35,Balwyn,4/40 Northcote Av,3,u,955000.0,S,Noel,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
36,Balwyn,306 Union Rd,4,h,1810000.0,S,Jellis,1/04/2017,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
44,Bayswater North,8 Wattle Rd,4,h,880000.0,S,Philip,1/04/2017,3153,Eastern Metropolitan,3598,23.2,Maroondah City Council
46,Beaumaris,2/58 Haydens Rd,2,u,835000.0,S,Buxton,1/04/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
47,Beaumaris,6 haywood St,4,h,1445000.0,S,Hodges,1/04/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
49,Beaumaris,39 White St,4,h,1435000.0,S,hockingstuart,1/04/2017,3193,Southern Metropolitan,5366,17.3,Bayside City Council
53,Bentleigh,5 Mortimore St,3,h,1340000.0,S,Buxton,1/04/2017,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
55,Bentleigh East,40 Castlewood St,3,h,1400000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
57,Bentleigh East,35 Highview Rd,2,t,775000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
59,Bentleigh East,103 Marlborough St,2,h,1220000.0,S,Point,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
60,Bentleigh East,66 Paloma St,2,h,1130000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
61,Bentleigh East,45 Waratah St,4,h,1460000.0,S,hockingstuart,1/04/2017,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
63,Black Rock,38 Ardoyne St,4,h,3000000.0,S,Buxton,1/04/2017,3193,Southern Metropolitan,2866,17.3,Bayside City Council
65,Blackburn,16 Peacedale Gr,4,h,1410000.0,S,Noel,1/04/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
66,Blackburn,4 Rosalind Cr,3,h,1110000.0,S,Barry,1/04/2017,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
68,Blackburn North,3 Sheila St,5,h,1090000.0,S,Noel,1/04/2017,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council
72,Blackburn South,1/15 Vicki St,3,u,710000.0,S,Philip,1/04/2017,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
73,Bonbeach,470 Station St,4,h,985000.0,S,Purplebricks,1/04/2017,3196,South-Eastern Metropolitan,2887,27.0,Kingston City Council
76,Braybrook,4/231 Ballarat Rd,3,h,500500.0,S,Village,1/04/2017,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
77,Braybrook,30 Cremorne St,2,h,490000.0,S,Boran,1/04/2017,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
87,Brighton East,75 Marriage Rd,3,h,1958000.0,S,Marshall,1/04/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council
88,Brighton East,81 Marriage Rd,4,h,2137000.0,S,Marshall,1/04/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council
90,Brighton East,3 Sunlight Cr,4,h,2975000.0,S,Marshall,1/04/2017,3187,Southern Metropolitan,6938,10.3,Bayside City Council
92,Broadmeadows,145 Graham St,3,h,457000.0,S,YPA,1/04/2017,3047,Northern Metropolitan,4294,14.0,Hume City Council
100,Brunswick,10 Lanark St,3,h,1120000.0,S,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council
101,Brunswick,9/4 Mitchell St,2,t,560000.0,S,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council
102,Brunswick,9 Pitt St,3,h,1685000.0,S,Nelson,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council
103,Brunswick,301/34 Union St,2,u,625000.0,S,Rombotis,1/04/2017,3056,Northern Metropolitan,11918,5.2,Moreland City Council
104,Brunswick East,217 Glenlyon Rd,3,h,1470000.0,S,Nelson,1/04/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council
105,Brunswick East,1/164 Nicholson St,2,h,860000.0,S,Woodards,1/04/2017,3057,Northern Metropolitan,5533,4.0,Moreland City Council
106,Brunswick West,370 Albion St,3,t,900000.0,S,Ray,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council
107,Brunswick West,5/21 Everett St,2,u,398000.0,S,Nelson,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council
108,Brunswick West,7/28 McLean St,2,h,576000.0,S,Biggin,1/04/2017,3055,Northern Metropolitan,7082,5.2,Moreland City Council
113,Bundoora,3 Florida Ct,2,t,525000.0,S,Barry,1/04/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council
114,Bundoora,7 Gordon St,4,h,740000.0,S,Barry,1/04/2017,3083,Northern Metropolitan,10175,12.1,Banyule City Council
116,Burwood,12 Andrews St,5,h,1265000.0,S,Jellis,1/04/2017,3125,Southern Metropolitan,5678,10.4,Monash City Council
118,Burwood East,1/451 Highbury Rd,4,t,1460000.0,S,Jellis,1/04/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council
120,Burwood East,19 Lincoln St,4,h,935000.0,S,Barry,1/04/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council
121,Burwood East,2/2 Sitar Ct,3,u,780000.0,S,J,1/04/2017,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council
123,Camberwell,1/17 Hollsmoor Rd,3,t,1375000.0,S,Garvey,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
124,Camberwell,1a Mabel St,2,h,1235000.0,S,Jellis,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
126,Camberwell,38 Spencer Rd,3,h,1520000.0,S,Jellis,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
127,Camberwell,3/7 Stanhope Gr,2,u,835000.0,S,Prowse,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
130,Camberwell,9 Webster St,4,h,2100500.0,S,Fletchers,1/04/2017,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
133,Carlton North,787 Rathdowne St,2,h,1470000.0,S,Nelson,1/04/2017,3054,Northern Metropolitan,3106,3.5,Melbourne City Council
134,Carlton North,79 Wilson St,3,h,2410000.0,S,Nelson,1/04/2017,3054,Northern Metropolitan,3106,3.5,Melbourne City Council
135,Carnegie,2 Milton St,4,h,1775000.0,S,hockingstuart,1/04/2017,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council
137,Carnegie,9/80 Woornack Rd,1,u,295000.0,S,Ray,1/04/2017,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council
138,Caroline Springs,26 Bursaria Dr,4,h,629000.0,S,Sweeney,1/04/2017,3023,Western Metropolitan,7719,14.8,Melton City Council
139,Caroline Springs,17 The Entrance,2,t,406000.0,S,Barry,1/04/2017,3023,Western Metropolitan,7719,14.8,Melton City Council
140,Carrum,13 Wright St,3,h,825000.0,S,Ray,1/04/2017,3197,South-Eastern Metropolitan,1989,31.2,Kingston City Council
141,Carrum Downs,67 Gamble Rd,4,h,581500.0,S,Donovan,1/04/2017,3201,South-Eastern Metropolitan,8060,34.9,Frankston City Council
142,Caulfield East,15 Grange Rd,3,h,1400000.0,S,Gary,1/04/2017,3145,Southern Metropolitan,608,8.4,Glen Eira City Council
145,Caulfield South,498 Kooyong Rd,3,h,1538000.0,S,Biggin,1/04/2017,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council
146,Chadstone,10 Myora Ct,3,h,1354000.0,S,Ray,1/04/2017,3148,Southern Metropolitan,3582,11.7,Monash City Council
147,Chelsea,29c Ella Gr,3,u,886000.0,S,O'Brien,1/04/2017,3196,South-Eastern Metropolitan,3906,27.0,Kingston City Council
150,Clayton,33 Dunstan St,7,h,4000000.0,S,Darras,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council
151,Clayton,9B Hourigan Av,4,t,1010000.0,S,C21,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council
152,Clayton,3/32 Madeleine Rd,2,t,697500.0,S,C21,1/04/2017,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council
154,Clayton South,24 Kitson Rd,3,h,800000.0,S,C21,1/04/2017,3169,South-Eastern Metropolitan,4734,17.5,Kingston City Council
156,Clifton Hill,6/37 Groom St,3,h,1805000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,2954,3.6,Yarra City Council
157,Clifton Hill,208 Noone St,3,h,1400000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,2954,3.6,Yarra City Council
158,Coburg,253 Bell St,3,h,1032500.0,S,Nelson,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
160,Coburg,116 Gordon St,3,h,1005000.0,S,Barry,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
162,Coburg,8/2 McKay St,2,u,412000.0,S,Del,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
164,Coburg,7 Railway Pl,2,h,797500.0,S,Ray,1/04/2017,3058,Northern Metropolitan,11204,6.7,Darebin City Council
166,Coburg North,23 Ida St,2,t,490000.0,S,Ray,1/04/2017,3058,Northern Metropolitan,3445,6.7,Darebin City Council
169,Collingwood,2/136 Oxford St,2,u,960000.0,S,Nelson,1/04/2017,3066,Northern Metropolitan,4553,2.0,Yarra City Council
170,Craigieburn,7A Amstel St,3,h,356500.0,S,Jason,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
172,Craigieburn,4 Meadowbank Ct,4,h,580500.0,S,YPA,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
173,Craigieburn,163 Newbury Bvd,3,h,573000.0,S,Bombay,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
175,Craigieburn,226 Windrock Av,3,t,385000.0,S,Ray,1/04/2017,3064,Northern Metropolitan,15510,20.6,Hume City Council
177,Cranbourne North,22 Horsfield St,3,h,475000.0,S,LJ,1/04/2017,3977,South-Eastern Metropolitan,6464,34.7,Casey City Council
181,Croydon,1 Robinson St,3,h,746000.0,S,Philip,1/04/2017,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council
182,Croydon,59 Wicklow Av,3,h,965000.0,S,Carter,1/04/2017,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council
183,Dallas,31 Phillip St,3,h,455500.0,S,Barry,1/04/2017,3047,Northern Metropolitan,2246,14.0,Hume City Council
185,Dandenong,24 Grandview Av,3,h,610000.0,S,McLennan,1/04/2017,3175,South-Eastern Metropolitan,10894,24.7,Greater Dandenong City Council
187,Dandenong North,4/3 Rhoden Ct,2,u,307000.0,S,buyMyplace,1/04/2017,3175,South-Eastern Metropolitan,8322,24.7,Greater Dandenong City Council
189,Deepdene,19 Terry St,2,h,1610000.0,S,Noel,1/04/2017,3103,Southern Metropolitan,892,7.9,Boroondara City Council
190,Deer Park,20 Davitt Dr,5,h,589000.0,S,YPA,1/04/2017,3023,Western Metropolitan,6388,14.8,Brimbank City Council
191,Deer Park,20 Doherty St,4,h,603000.0,S,Bells,1/04/2017,3023,Western Metropolitan,6388,14.8,Brimbank City Council
192,Delahey,1/25 Yeats Dr,3,h,335000.0,S,Ray,1/04/2017,3037,Western Metropolitan,2898,18.0,Brimbank City Council
194,Dingley Village,6 Balcombe Pl,4,h,920000.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council
195,Dingley Village,4 Bayville Dr,3,h,770000.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council
196,Dingley Village,17 Emery Dr,4,h,1140000.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council
197,Dingley Village,34 Marcus Rd,4,h,910000.0,S,Ray,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council
198,Dingley Village,16 Toorak Dr,4,h,883850.0,S,Buxton,1/04/2017,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council
199,Doncaster,73 Ayr St,4,h,1556000.0,S,Barry,1/04/2017,3108,Eastern Metropolitan,9028,12.4,Manningham City Council
201,Doncaster East,48 Blackburn Rd,4,h,1249000.0,S,Lindellas,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council
202,Doncaster East,2/3 Elizabeth St,3,t,950000.0,S,Parkes,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council
203,Doncaster East,1/60 Franklin Rd,3,t,820000.0,S,Noel,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council
204,Doncaster East,58 Huntingfield Dr,4,h,1730000.0,S,Jellis,1/04/2017,3109,Eastern Metropolitan,10999,14.3,Manningham City Council
206,Donvale,11 Chaim Ct,3,h,1260000.0,S,Jellis,1/04/2017,3111,Eastern Metropolitan,4790,16.1,Manningham City Council
208,Eaglemont,22 Ormond Rd,3,h,1820000.0,S,Nelson,1/04/2017,3084,Eastern Metropolitan,1651,8.9,Banyule City Council
210,East Melbourne,138 Powlett St,4,h,4150000.0,S,Caine,1/04/2017,3002,Northern Metropolitan,3040,1.3,Melbourne City Council
211,Edithvale,17 Joffre Av,3,h,1130000.0,S,hockingstuart/hockingstuart,1/04/2017,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council
212,Elsternwick,29 Downshire Rd,3,t,1683000.0,S,Biggin,1/04/2017,3185,Southern Metropolitan,4898,7.2,Glen Eira City Council
216,Eltham,14 Lamorna Ct,3,h,900000.0,S,Barry,1/04/2017,3095,Eastern Metropolitan,6990,18.0,Banyule City Council
217,Eltham,89 Napoleon St,3,h,837000.0,S,Morrison,1/04/2017,3095,Eastern Metropolitan,6990,18.0,Banyule City Council
218,Eltham North,34 Weidlich Rd,4,h,1000000.0,S,Barry,1/04/2017,3095,Eastern Metropolitan,2346,18.0,Banyule City Council
220,Elwood,15/125 Ormond Rd,2,u,800000.0,S,Chisholm,1/04/2017,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council
221,Elwood,3/22 Shelley St,2,u,805000.0,S,Chisholm,1/04/2017,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council
224,Elwood,68 Tennyson St,4,h,2985000.0,S,Kay,1/04/2017,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council
226,Endeavour Hills,6 Fleming Cl,4,h,690000.0,S,O'Brien,1/04/2017,3802,South-Eastern Metropolitan,8443,28.5,Casey City Council
227,Epping,50 Farmhouse Bvd,3,h,497000.0,S,Harcourts,1/04/2017,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council
228,Epping,24 Guinea Ct,3,h,507500.0,S,Love,1/04/2017,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council
229,Epping,29 Inverloch St,5,h,1010000.0,S,Ray,1/04/2017,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council
230,Essendon,40 Bradshaw St,4,h,1930000.0,S,Nelson,1/04/2017,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council
231,Essendon,118 Deakin St,4,h,1399000.0,S,Nelson,1/04/2017,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council
232,Essendon,23 Gilbertson St,3,h,1512000.0,S,Nelson,1/04/2017,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council
234,Essendon,6/46 Richardson St,3,u,552000.0,S,Rendina,1/04/2017,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council
235,Essendon,12/25 Winifred St,2,u,860000.0,S,Nelson,1/04/2017,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council
236,Essendon North,2B Cowper St,4,h,946000.0,S,Nelson,1/04/2017,3041,Western Metropolitan,1308,8.2,Moonee Valley City Council
237,Essendon West,32 Garnet St,3,h,1430000.0,S,Nelson,1/04/2017,3040,Western Metropolitan,588,7.5,Moonee Valley City Council
239,Fawkner,13 Birchwood St,3,h,635000.0,S,Barry,1/04/2017,3060,Northern Metropolitan,5070,13.1,Hume City Council
241,Fawkner,9 Emma St,3,h,705000.0,S,Brad,1/04/2017,3060,Northern Metropolitan,5070,13.1,Hume City Council
242,Fawkner,13 Minona St,3,t,625000.0,S,Brad,1/04/2017,3060,Northern Metropolitan,5070,13.1,Hume City Council
244,Ferntree Gully,32 Gaydon St,3,h,691000.0,S,Win,1/04/2017,3156,Eastern Metropolitan,10788,24.8,Knox City Council
246,Ferntree Gully,12 Kingston St,4,h,815000.0,S,Schroeder,1/04/2017,3156,Eastern Metropolitan,10788,24.8,Knox City Council
247,Ferntree Gully,50 Wattletree Rd,3,h,730000.0,S,Biggin,1/04/2017,3156,Eastern Metropolitan,10788,24.8,Knox City Council
250,Fitzroy North,64 Barkly St,3,h,1890000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,6244,3.6,Moreland City Council
251,Fitzroy North,6 Ivan St,3,h,1454000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,6244,3.6,Moreland City Council
252,Fitzroy North,123 Miller St,4,h,2061000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,6244,3.6,Moreland City Council
254,Fitzroy North,5/240 Queens Pde,2,u,995000.0,S,Nelson,1/04/2017,3068,Northern Metropolitan,6244,3.6,Moreland City Council
255,Fitzroy North,88 Rowe St,4,h,3259000.0,S,Jellis,1/04/2017,3068,Northern Metropolitan,6244,3.6,Moreland City Council
258,Fitzroy North,53 Tait St,2,h,1325000.0,S,Collins,1/04/2017,3068,Northern Metropolitan,6244,3.6,Moreland City Council
261,Footscray,12 Swan St,2,t,771000.0,S,Jas,1/04/2017,3011,Western Metropolitan,7570,5.1,Maribyrnong City Council
262,Forest Hill,4 Lowana Cr,3,h,1260000.0,S,Barry,1/04/2017,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council
263,Frankston,21 Glenview Cr,3,h,508000.0,S,Eview,1/04/2017,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council
264,Frankston,6 Yuille St,2,h,501500.0,S,McGrath,1/04/2017,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council
265,Frankston North,5 Silvertop St,3,h,450000.0,S,Aquire,1/04/2017,3200,Eastern Victoria,2500,36.9,Frankston City Council
267,Gladstone Park,6 Reeves Cl,4,h,650000.0,S,Raine,1/04/2017,3043,Western Metropolitan,3285,12.9,Hume City Council
269,Glen Iris,18 Creswick St,3,h,3730000.0,S,Wilson,1/04/2017,3146,Southern Metropolitan,10412,7.3,Boroondara City Council
270,Glen Iris,2A Dundas St,3,h,1225000.0,S,Buxton,1/04/2017,3146,Southern Metropolitan,10412,7.3,Boroondara City Council
277,Glen Waverley,28 Edith St,7,h,1716000.0,S,Harcourts,1/04/2017,3150,Eastern Metropolitan,15321,16.7,Monash City Council
279,Glen Waverley,6 Harvie St,4,h,1467000.0,S,Harcourts,1/04/2017,3150,Eastern Metropolitan,15321,16.7,Monash City Council
281,Glen Waverley,43 Ranfurlie Dr,4,h,1311000.0,S,Ray,1/04/2017,3150,Eastern Metropolitan,15321,16.7,Monash City Council
283,Glenroy,69A Maude Av,3,t,582000.0,S,Eview,1/04/2017,3046,Northern Metropolitan,8870,11.2,Moreland City Council
284,Gowanbrae,29 Balerno Cir,3,h,536000.0,S,Nelson,1/04/2017,3043,Western Metropolitan,1071,12.9,Moreland City Council
285,Gowanbrae,140 Gowanbrae Dr,3,h,696000.0,S,Jellis,1/04/2017,3043,Western Metropolitan,1071,12.9,Moreland City Council
286,Greensborough,2 Akima Cl,3,h,757000.0,S,Darren,1/04/2017,3088,Northern Metropolitan,8524,16.1,Banyule City Council
288,Greensborough,12 Armstrong St,3,h,768000.0,S,Fletchers,1/04/2017,3088,Northern Metropolitan,8524,16.1,Banyule City Council
289,Greensborough,109 Delta Rd,4,h,812000.0,S,Barry,1/04/2017,3088,Northern Metropolitan,8524,16.1,Banyule City Council
290,Greensborough,207 Hickling Av,3,h,782000.0,S,Buckingham,1/04/2017,3088,Northern Metropolitan,8524,16.1,Banyule City Council
291,Greensborough,30 Kempston St,3,h,725000.0,S,Ray,1/04/2017,3088,Northern Metropolitan,8524,16.1,Banyule City Council
292,Greensborough,2/18 Lorimer St,4,h,680000.0,S,Barry,1/04/2017,3088,Northern Metropolitan,8524,16.1,Banyule City Council
293,Greensborough,13 Ridge Rd,3,h,882000.0,S,Darren,1/04/2017,3088,Northern Metropolitan,8524,16.1,Banyule City Council
295,Greenvale,2 Wichill Cl,4,h,632000.0,S,Jason,1/04/2017,3059,Northern Metropolitan,4864,20.4,Hume City Council
297,Hadfield,4 Knole St,4,h,812000.0,S,Barry,1/04/2017,3046,Northern Metropolitan,2606,11.2,Moreland City Council
298,Hadfield,15 Regent St,3,h,837000.0,S,Stockdale,1/04/2017,3046,Northern Metropolitan,2606,11.2,Moreland City Council
301,Hampton,21 Grout St,3,h,2288500.0,S,Hodges,1/04/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council
302,Hampton,307/427 Hampton St,2,u,750000.0,S,hockingstuart,1/04/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council
303,Hampton,2/2 Myrtle Rd,3,t,1510000.0,S,Buxton,1/04/2017,3188,Southern Metropolitan,5454,13.8,Bayside City Council
305,Hawthorn,6/32 Berkeley St,3,u,855000.0,S,Jellis,1/04/2017,3122,Southern Metropolitan,11308,5.3,Boroondara City Council
308,Hawthorn,5/35 Elphin Gr,2,u,490000.0,S,Jellis,1/04/2017,3122,Southern Metropolitan,11308,5.3,Boroondara City Council
310,Hawthorn,9/578 Glenferrie Rd,2,u,600000.0,S,Marshall,1/04/2017,3122,Southern Metropolitan,11308,5.3,Boroondara City Council
312,Hawthorn,10/48 Oxley Rd,3,u,975000.0,S,Marshall,1/04/2017,3122,Southern Metropolitan,11308,5.3,Boroondara City Council
314,Heidelberg,9/106 Brown St,2,u,655000.0,S,Miles,1/04/2017,3084,Eastern Metropolitan,2890,8.9,Banyule City Council
315,Heidelberg,7 Kent Ct,4,h,1420000.0,S,Miles,1/04/2017,3084,Eastern Metropolitan,2890,8.9,Banyule City Council
316,Heidelberg Heights,44 Marie Av,3,h,786000.0,S,Barry,1/04/2017,3081,Eastern Metropolitan,2947,8.8,Banyule City Council
318,Heidelberg Heights,4 Spencer St,3,h,959000.0,S,Barry,1/04/2017,3081,Eastern Metropolitan,2947,8.8,Banyule City Council
319,Heidelberg West,1 Mulberry Pde,3,h,720000.0,S,Fletchers,1/04/2017,3081,Eastern Metropolitan,2674,8.8,Banyule City Council
321,Highett,2 Hazel Av,3,h,1322000.0,S,Buxton,1/04/2017,3190,Southern Metropolitan,4794,16.0,Bayside City Council
323,Hillside,5 Anastasia Ct,4,h,612500.0,S,Sweeney,1/04/2017,3037,Western Metropolitan,5556,18.0,Brimbank City Council
325,Hoppers Crossing,98 Barber Dr,4,h,715000.0,S,Greg,1/04/2017,3029,Western Metropolitan,13830,18.4,Wyndham City Council
327,Hoppers Crossing,30 Elder Rd,4,h,686500.0,S,Ray,1/04/2017,3029,Western Metropolitan,13830,18.4,Wyndham City Council
328,Hughesdale,2 Arthur St,2,h,1065000.0,S,hockingstuart,1/04/2017,3166,Southern Metropolitan,3145,12.3,Monash City Council
329,Hughesdale,6A Maroo St,4,h,1355000.0,S,Woodards,1/04/2017,3166,Southern Metropolitan,3145,12.3,Monash City Council
330,Huntingdale,31 Berkeley St,3,h,1145000.0,S,Ray,1/04/2017,3166,Southern Metropolitan,768,12.3,Monash City Council
331,Ivanhoe,13 Dalveen Rd,2,h,792000.0,S,Nelson,1/04/2017,3079,Eastern Metropolitan,5549,7.8,Banyule City Council
335,Ivanhoe,4 Meryton La,3,h,1977000.0,S,Miles,1/04/2017,3079,Eastern Metropolitan,5549,7.8,Banyule City Council
338,Ivanhoe East,30 Townsend St,3,h,1781000.0,S,Nelson,1/04/2017,3079,Eastern Metropolitan,1554,7.8,Banyule City Council
339,Jacana,42 Hales Cr,3,h,575000.0,S,YPA,1/04/2017,3047,Northern Metropolitan,851,14.0,Hume City Council
340,Jacana,14 Landy Rd,3,h,542000.0,S,Barry,1/04/2017,3047,Northern Metropolitan,851,14.0,Hume City Council
341,Keilor Downs,18 Wimmera Cr,3,h,569000.0,S,Barry,1/04/2017,3038,Western Metropolitan,3656,15.5,Brimbank City Council
