,Suburb,Address,Rooms,Type,Price,SellerG,Postcode,Regionname,Propertycount,Distance,CouncilArea,latitude,longitude
24,Balwyn,306 Union Rd,4,h,1810000.0,Jellis,3103,Southern Metropolitan,5682,7.9,Boroondara City Council,-37.8112,145.0776
25,Bayswater North,8 Wattle Rd,4,h,880000.0,Philip,3153,Eastern Metropolitan,3598,23.2,Maroondah City Council,-37.8276,145.273
26,Beaumaris,2/58 Haydens Rd,2,u,835000.0,Buxton,3193,Southern Metropolitan,5366,17.3,Bayside City Council,-37.9826,145.026925
27,Beaumaris,6 haywood St,4,h,1445000.0,Hodges,3193,Southern Metropolitan,5366,17.3,Bayside City Council,-37.9826,145.026925
28,Beaumaris,39 White St,4,h,1435000.0,hockingstuart,3193,Southern Metropolitan,5366,17.3,Bayside City Council,-37.9826,145.026925
29,Bentleigh,5 Mortimore St,3,h,1340000.0,Buxton,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council,-37.9107,145.06560000000002
30,Bentleigh East,40 Castlewood St,3,h,1400000.0,hockingstuart,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,-37.9221,145.06645
31,Bentleigh East,35 Highview Rd,2,t,775000.0,hockingstuart,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,-37.9221,145.06645
32,Bentleigh East,103 Marlborough St,2,h,1220000.0,Point,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,-37.9221,145.06645
33,Bentleigh East,66 Paloma St,2,h,1130000.0,hockingstuart,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,-37.9221,145.06645
34,Bentleigh East,45 Waratah St,4,h,1460000.0,hockingstuart,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council,-37.9221,145.06645
35,Black Rock,38 Ardoyne St,4,h,3000000.0,Buxton,3193,Southern Metropolitan,2866,17.3,Bayside City Council,-37.9826,145.026925
36,Blackburn,16 Peacedale Gr,4,h,1410000.0,Noel,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,-37.8232,145.150625
37,Blackburn,4 Rosalind Cr,3,h,1110000.0,Barry,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council,-37.8232,145.150625
38,Blackburn North,3 Sheila St,5,h,1090000.0,Noel,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council,-37.8232,145.150625
39,Blackburn South,1/15 Vicki St,3,u,710000.0,Philip,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council,-37.8232,145.150625
40,Bonbeach,470 Station St,4,h,985000.0,Purplebricks,3196,South-Eastern Metropolitan,2887,27.0,Kingston City Council,-38.0419,145.1232
41,Braybrook,4/231 Ballarat Rd,3,h,500500.0,Village,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council,-37.7861,144.85475000000002
42,Braybrook,30 Cremorne St,2,h,490000.0,Boran,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council,-37.7861,144.85475000000002
43,Brighton East,75 Marriage Rd,3,h,1958000.0,Marshall,3187,Southern Metropolitan,6938,10.3,Bayside City Council,-37.9667,145.01645
44,Brighton East,81 Marriage Rd,4,h,2137000.0,Marshall,3187,Southern Metropolitan,6938,10.3,Bayside City Council,-37.9667,145.01645
45,Brighton East,3 Sunlight Cr,4,h,2975000.0,Marshall,3187,Southern Metropolitan,6938,10.3,Bayside City Council,-37.9667,145.01645
46,Broadmeadows,145 Graham St,3,h,457000.0,YPA,3047,Northern Metropolitan,4294,14.0,Hume City Council,-37.6838,144.9248
47,Brunswick,10 Lanark St,3,h,1120000.0,Nelson,3056,Northern Metropolitan,11918,5.2,Moreland City Council,-37.7669,144.9651
48,Brunswick,9/4 Mitchell St,2,t,560000.0,Nelson,3056,Northern Metropolitan,11918,5.2,Moreland City Council,-37.7669,144.9651
49,Brunswick,9 Pitt St,3,h,1685000.0,Nelson,3056,Northern Metropolitan,11918,5.2,Moreland City Council,-37.7669,144.9651
50,Brunswick,301/34 Union St,2,u,625000.0,Rombotis,3056,Northern Metropolitan,11918,5.2,Moreland City Council,-37.7669,144.9651
51,Brunswick East,217 Glenlyon Rd,3,h,1470000.0,Nelson,3057,Northern Metropolitan,5533,4.0,Moreland City Council,-37.7603,144.9629
52,Brunswick East,1/164 Nicholson St,2,h,860000.0,Woodards,3057,Northern Metropolitan,5533,4.0,Moreland City Council,-37.7603,144.9629
53,Brunswick West,370 Albion St,3,t,900000.0,Ray,3055,Northern Metropolitan,7082,5.2,Moreland City Council,-37.7603,144.948425
54,Brunswick West,5/21 Everett St,2,u,398000.0,Nelson,3055,Northern Metropolitan,7082,5.2,Moreland City Council,-37.7603,144.948425
55,Brunswick West,7/28 McLean St,2,h,576000.0,Biggin,3055,Northern Metropolitan,7082,5.2,Moreland City Council,-37.7603,144.948425
56,Bundoora,3 Florida Ct,2,t,525000.0,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,-37.7156,145.05066666666667
57,Bundoora,7 Gordon St,4,h,740000.0,Barry,3083,Northern Metropolitan,10175,12.1,Banyule City Council,-37.7156,145.05066666666667
58,Burwood,12 Andrews St,5,h,1265000.0,Jellis,3125,Southern Metropolitan,5678,10.4,Monash City Council,-37.8495,145.11533333333333
59,Burwood East,1/451 Highbury Rd,4,t,1460000.0,Jellis,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,-37.8538,145.15015
60,Burwood East,19 Lincoln St,4,h,935000.0,Barry,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,-37.8538,145.15015
61,Burwood East,2/2 Sitar Ct,3,u,780000.0,J,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council,-37.8538,145.15015
62,Camberwell,1/17 Hollsmoor Rd,3,t,1375000.0,Garvey,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
63,Camberwell,1a Mabel St,2,h,1235000.0,Jellis,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
64,Camberwell,38 Spencer Rd,3,h,1520000.0,Jellis,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
65,Camberwell,3/7 Stanhope Gr,2,u,835000.0,Prowse,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
66,Camberwell,9 Webster St,4,h,2100500.0,Fletchers,3124,Southern Metropolitan,8920,7.7,Boroondara City Council,-37.8248,145.07470000000004
67,Carlton North,787 Rathdowne St,2,h,1470000.0,Nelson,3054,Northern Metropolitan,3106,3.5,Melbourne City Council,-37.782,144.96495
68,Carlton North,79 Wilson St,3,h,2410000.0,Nelson,3054,Northern Metropolitan,3106,3.5,Melbourne City Council,-37.782,144.96495
69,Carnegie,2 Milton St,4,h,1775000.0,hockingstuart,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,-37.8895,145.058025
70,Carnegie,9/80 Woornack Rd,1,u,295000.0,Ray,3163,Southern Metropolitan,7822,10.1,Glen Eira City Council,-37.8895,145.058025
71,Caroline Springs,26 Bursaria Dr,4,h,629000.0,Sweeney,3023,Western Metropolitan,7719,14.8,Melton City Council,-37.759,144.7586142857143
72,Caroline Springs,17 The Entrance,2,t,406000.0,Barry,3023,Western Metropolitan,7719,14.8,Melton City Council,-37.759,144.7586142857143
73,Carrum,13 Wright St,3,h,825000.0,Ray,3197,South-Eastern Metropolitan,1989,31.2,Kingston City Council,-38.0765,145.14155
74,Carrum Downs,67 Gamble Rd,4,h,581500.0,Donovan,3201,South-Eastern Metropolitan,8060,34.9,Frankston City Council,-38.0698,145.1753
75,Caulfield East,15 Grange Rd,3,h,1400000.0,Gary,3145,Southern Metropolitan,608,8.4,Glen Eira City Council,-37.8775,145.053
76,Caulfield South,498 Kooyong Rd,3,h,1538000.0,Biggin,3162,Southern Metropolitan,5051,8.7,Glen Eira City Council,-37.8939,145.0256
77,Chadstone,10 Myora Ct,3,h,1354000.0,Ray,3148,Southern Metropolitan,3582,11.7,Monash City Council,-37.8855,145.105775
78,Chelsea,29c Ella Gr,3,u,886000.0,O'Brien,3196,South-Eastern Metropolitan,3906,27.0,Kingston City Council,-38.0419,145.1232
79,Clayton,33 Dunstan St,7,h,4000000.0,Darras,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,-37.9052,145.1343
80,Clayton,9B Hourigan Av,4,t,1010000.0,C21,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,-37.9052,145.1343
81,Clayton,3/32 Madeleine Rd,2,t,697500.0,C21,3168,South-Eastern Metropolitan,5837,16.7,Monash City Council,-37.9052,145.1343
82,Clayton South,24 Kitson Rd,3,h,800000.0,C21,3169,South-Eastern Metropolitan,4734,17.5,Kingston City Council,-37.9459,145.1222
83,Clifton Hill,6/37 Groom St,3,h,1805000.0,Nelson,3068,Northern Metropolitan,2954,3.6,Yarra City Council,-37.7748,144.9898
84,Clifton Hill,208 Noone St,3,h,1400000.0,Nelson,3068,Northern Metropolitan,2954,3.6,Yarra City Council,-37.7748,144.9898
85,Coburg,253 Bell St,3,h,1032500.0,Nelson,3058,Northern Metropolitan,11204,6.7,Darebin City Council,-37.7269,144.9597
86,Coburg,116 Gordon St,3,h,1005000.0,Barry,3058,Northern Metropolitan,11204,6.7,Darebin City Council,-37.7269,144.9597
87,Coburg,8/2 McKay St,2,u,412000.0,Del,3058,Northern Metropolitan,11204,6.7,Darebin City Council,-37.7269,144.9597
88,Coburg,7 Railway Pl,2,h,797500.0,Ray,3058,Northern Metropolitan,11204,6.7,Darebin City Council,-37.7269,144.9597
89,Coburg North,23 Ida St,2,t,490000.0,Ray,3058,Northern Metropolitan,3445,6.7,Darebin City Council,-37.7269,144.9597
90,Collingwood,2/136 Oxford St,2,u,960000.0,Nelson,3066,Northern Metropolitan,4553,2.0,Yarra City Council,-37.8022,144.98540000000003
91,Craigieburn,7A Amstel St,3,h,356500.0,Jason,3064,Northern Metropolitan,15510,20.6,Hume City Council,-37.5476,144.93716
92,Craigieburn,4 Meadowbank Ct,4,h,580500.0,YPA,3064,Northern Metropolitan,15510,20.6,Hume City Council,-37.5476,144.93716
93,Craigieburn,163 Newbury Bvd,3,h,573000.0,Bombay,3064,Northern Metropolitan,15510,20.6,Hume City Council,-37.5476,144.93716
94,Craigieburn,226 Windrock Av,3,t,385000.0,Ray,3064,Northern Metropolitan,15510,20.6,Hume City Council,-37.5476,144.93716
95,Cranbourne North,22 Horsfield St,3,h,475000.0,LJ,3977,South-Eastern Metropolitan,6464,34.7,Casey City Council,-38.1454,145.2697416666667
96,Croydon,1 Robinson St,3,h,746000.0,Philip,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,-37.7758,145.27785
97,Croydon,59 Wicklow Av,3,h,965000.0,Carter,3136,Eastern Metropolitan,11925,23.0,Maroondah City Council,-37.7758,145.27785
98,Dallas,31 Phillip St,3,h,455500.0,Barry,3047,Northern Metropolitan,2246,14.0,Hume City Council,-37.6838,144.9248
99,Dandenong,24 Grandview Av,3,h,610000.0,McLennan,3175,South-Eastern Metropolitan,10894,24.7,Greater Dandenong City Council,-37.9833,145.2053
100,Dandenong North,4/3 Rhoden Ct,2,u,307000.0,buyMyplace,3175,South-Eastern Metropolitan,8322,24.7,Greater Dandenong City Council,-37.9833,145.2053
101,Deepdene,19 Terry St,2,h,1610000.0,Noel,3103,Southern Metropolitan,892,7.9,Boroondara City Council,-37.8112,145.0776
102,Deer Park,20 Davitt Dr,5,h,589000.0,YPA,3023,Western Metropolitan,6388,14.8,Brimbank City Council,-37.759,144.7586142857143
103,Deer Park,20 Doherty St,4,h,603000.0,Bells,3023,Western Metropolitan,6388,14.8,Brimbank City Council,-37.759,144.7586142857143
104,Delahey,1/25 Yeats Dr,3,h,335000.0,Ray,3037,Western Metropolitan,2898,18.0,Brimbank City Council,-37.7184,144.75860000000003
105,Dingley Village,6 Balcombe Pl,4,h,920000.0,Buxton,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,-37.9807,145.1387
106,Dingley Village,4 Bayville Dr,3,h,770000.0,Buxton,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,-37.9807,145.1387
107,Dingley Village,17 Emery Dr,4,h,1140000.0,Buxton,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,-37.9807,145.1387
108,Dingley Village,34 Marcus Rd,4,h,910000.0,Ray,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,-37.9807,145.1387
109,Dingley Village,16 Toorak Dr,4,h,883850.0,Buxton,3172,South-Eastern Metropolitan,3940,22.2,Kingston City Council,-37.9807,145.1387
110,Doncaster,73 Ayr St,4,h,1556000.0,Barry,3108,Eastern Metropolitan,9028,12.4,Manningham City Council,-37.7855,145.1246
111,Doncaster East,48 Blackburn Rd,4,h,1249000.0,Lindellas,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,-37.7795,145.1632
112,Doncaster East,2/3 Elizabeth St,3,t,950000.0,Parkes,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,-37.7795,145.1632
113,Doncaster East,1/60 Franklin Rd,3,t,820000.0,Noel,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,-37.7795,145.1632
114,Doncaster East,58 Huntingfield Dr,4,h,1730000.0,Jellis,3109,Eastern Metropolitan,10999,14.3,Manningham City Council,-37.7795,145.1632
115,Donvale,11 Chaim Ct,3,h,1260000.0,Jellis,3111,Eastern Metropolitan,4790,16.1,Manningham City Council,-37.7915,145.1846
116,Eaglemont,22 Ormond Rd,3,h,1820000.0,Nelson,3084,Eastern Metropolitan,1651,8.9,Banyule City Council,-37.7637,145.07292
117,East Melbourne,138 Powlett St,4,h,4150000.0,Caine,3002,Northern Metropolitan,3040,1.3,Melbourne City Council,-37.8133,144.9839
118,Edithvale,17 Joffre Av,3,h,1130000.0,hockingstuart/hockingstuart,3196,South-Eastern Metropolitan,2546,27.0,Kingston City Council,-38.0419,145.1232
119,Elsternwick,29 Downshire Rd,3,t,1683000.0,Biggin,3185,Southern Metropolitan,4898,7.2,Glen Eira City Council,-37.8783,145.00279999999998
120,Eltham,14 Lamorna Ct,3,h,900000.0,Barry,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,-37.7133,145.15826666666666
121,Eltham,89 Napoleon St,3,h,837000.0,Morrison,3095,Eastern Metropolitan,6990,18.0,Banyule City Council,-37.7133,145.15826666666666
122,Eltham North,34 Weidlich Rd,4,h,1000000.0,Barry,3095,Eastern Metropolitan,2346,18.0,Banyule City Council,-37.7133,145.15826666666666
123,Elwood,15/125 Ormond Rd,2,u,800000.0,Chisholm,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,-37.8809,144.98605
124,Elwood,3/22 Shelley St,2,u,805000.0,Chisholm,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,-37.8809,144.98605
125,Elwood,68 Tennyson St,4,h,2985000.0,Kay,3184,Southern Metropolitan,8989,7.2,Port Phillip City Council,-37.8809,144.98605
126,Endeavour Hills,6 Fleming Cl,4,h,690000.0,O'Brien,3802,South-Eastern Metropolitan,8443,28.5,Casey City Council,-37.9768,145.2608
127,Epping,50 Farmhouse Bvd,3,h,497000.0,Harcourts,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,-37.6307,145.0171
128,Epping,24 Guinea Ct,3,h,507500.0,Love,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,-37.6307,145.0171
129,Epping,29 Inverloch St,5,h,1010000.0,Ray,3076,Northern Metropolitan,10926,19.6,Whittlesea City Council,-37.6307,145.0171
130,Essendon,40 Bradshaw St,4,h,1930000.0,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
131,Essendon,118 Deakin St,4,h,1399000.0,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
132,Essendon,23 Gilbertson St,3,h,1512000.0,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
133,Essendon,6/46 Richardson St,3,u,552000.0,Rendina,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
134,Essendon,12/25 Winifred St,2,u,860000.0,Nelson,3040,Western Metropolitan,9264,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
135,Essendon North,2B Cowper St,4,h,946000.0,Nelson,3041,Western Metropolitan,1308,8.2,Moonee Valley City Council,-37.7133,144.90214
136,Essendon West,32 Garnet St,3,h,1430000.0,Nelson,3040,Western Metropolitan,588,7.5,Moonee Valley City Council,-37.7498,144.89833333333334
137,Fawkner,13 Birchwood St,3,h,635000.0,Barry,3060,Northern Metropolitan,5070,13.1,Hume City Council,-37.7059,144.9685
138,Fawkner,9 Emma St,3,h,705000.0,Brad,3060,Northern Metropolitan,5070,13.1,Hume City Council,-37.7059,144.9685
139,Fawkner,13 Minona St,3,t,625000.0,Brad,3060,Northern Metropolitan,5070,13.1,Hume City Council,-37.7059,144.9685
140,Ferntree Gully,32 Gaydon St,3,h,691000.0,Win,3156,Eastern Metropolitan,10788,24.8,Knox City Council,-37.8963,145.28789999999998
141,Ferntree Gully,12 Kingston St,4,h,815000.0,Schroeder,3156,Eastern Metropolitan,10788,24.8,Knox City Council,-37.8963,145.28789999999998
142,Ferntree Gully,50 Wattletree Rd,3,h,730000.0,Biggin,3156,Eastern Metropolitan,10788,24.8,Knox City Council,-37.8963,145.28789999999998
143,Fitzroy North,64 Barkly St,3,h,1890000.0,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
144,Fitzroy North,6 Ivan St,3,h,1454000.0,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
145,Fitzroy North,123 Miller St,4,h,2061000.0,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
146,Fitzroy North,5/240 Queens Pde,2,u,995000.0,Nelson,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
147,Fitzroy North,88 Rowe St,4,h,3259000.0,Jellis,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
148,Fitzroy North,53 Tait St,2,h,1325000.0,Collins,3068,Northern Metropolitan,6244,3.6,Moreland City Council,-37.7748,144.9898
149,Footscray,12 Swan St,2,t,771000.0,Jas,3011,Western Metropolitan,7570,5.1,Maribyrnong City Council,-37.8062,144.89436666666666
150,Forest Hill,4 Lowana Cr,3,h,1260000.0,Barry,3131,Eastern Metropolitan,4385,15.4,Whitehorse City Council,-37.8387,145.17366666666666
151,Frankston,21 Glenview Cr,3,h,508000.0,Eview,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council,-38.1278,145.13618333333332
152,Frankston,6 Yuille St,2,h,501500.0,McGrath,3199,South-Eastern Metropolitan,17055,38.0,Frankston City Council,-38.1278,145.13618333333332
153,Frankston North,5 Silvertop St,3,h,450000.0,Aquire,3200,Eastern Victoria,2500,36.9,Frankston City Council,-38.1214,145.15545
154,Gladstone Park,6 Reeves Cl,4,h,650000.0,Raine,3043,Western Metropolitan,3285,12.9,Hume City Council,-37.7087,144.89243333333334
155,Glen Iris,18 Creswick St,3,h,3730000.0,Wilson,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,-37.8599,145.07475
156,Glen Iris,2A Dundas St,3,h,1225000.0,Buxton,3146,Southern Metropolitan,10412,7.3,Boroondara City Council,-37.8599,145.07475
157,Glen Waverley,28 Edith St,7,h,1716000.0,Harcourts,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
158,Glen Waverley,6 Harvie St,4,h,1467000.0,Harcourts,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
159,Glen Waverley,43 Ranfurlie Dr,4,h,1311000.0,Ray,3150,Eastern Metropolitan,15321,16.7,Monash City Council,-37.8891,145.17476666666667
160,Glenroy,69A Maude Av,3,t,582000.0,Eview,3046,Northern Metropolitan,8870,11.2,Moreland City Council,-37.7175,144.92933333333335
161,Gowanbrae,29 Balerno Cir,3,h,536000.0,Nelson,3043,Western Metropolitan,1071,12.9,Moreland City Council,-37.7087,144.89243333333334
162,Gowanbrae,140 Gowanbrae Dr,3,h,696000.0,Jellis,3043,Western Metropolitan,1071,12.9,Moreland City Council,-37.7087,144.89243333333334
163,Greensborough,2 Akima Cl,3,h,757000.0,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
164,Greensborough,12 Armstrong St,3,h,768000.0,Fletchers,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
165,Greensborough,109 Delta Rd,4,h,812000.0,Barry,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
166,Greensborough,207 Hickling Av,3,h,782000.0,Buckingham,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
167,Greensborough,30 Kempston St,3,h,725000.0,Ray,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
168,Greensborough,2/18 Lorimer St,4,h,680000.0,Barry,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
169,Greensborough,13 Ridge Rd,3,h,882000.0,Darren,3088,Northern Metropolitan,8524,16.1,Banyule City Council,-37.7064,145.12347499999998
170,Greenvale,2 Wichill Cl,4,h,632000.0,Jason,3059,Northern Metropolitan,4864,20.4,Hume City Council,-37.6366,144.8919
171,Hadfield,4 Knole St,4,h,812000.0,Barry,3046,Northern Metropolitan,2606,11.2,Moreland City Council,-37.7175,144.92933333333335
172,Hadfield,15 Regent St,3,h,837000.0,Stockdale,3046,Northern Metropolitan,2606,11.2,Moreland City Council,-37.7175,144.92933333333335
173,Hampton,21 Grout St,3,h,2288500.0,Hodges,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
174,Hampton,307/427 Hampton St,2,u,750000.0,hockingstuart,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
175,Hampton,2/2 Myrtle Rd,3,t,1510000.0,Buxton,3188,Southern Metropolitan,5454,13.8,Bayside City Council,-37.9374,145.01819999999998
176,Hawthorn,6/32 Berkeley St,3,u,855000.0,Jellis,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
177,Hawthorn,5/35 Elphin Gr,2,u,490000.0,Jellis,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
178,Hawthorn,9/578 Glenferrie Rd,2,u,600000.0,Marshall,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
179,Hawthorn,10/48 Oxley Rd,3,u,975000.0,Marshall,3122,Southern Metropolitan,11308,5.3,Boroondara City Council,-37.8344,145.03906
180,Heidelberg,9/106 Brown St,2,u,655000.0,Miles,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,-37.7637,145.07292
181,Heidelberg,7 Kent Ct,4,h,1420000.0,Miles,3084,Eastern Metropolitan,2890,8.9,Banyule City Council,-37.7637,145.07292
182,Heidelberg Heights,44 Marie Av,3,h,786000.0,Barry,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,-37.7523,145.045725
183,Heidelberg Heights,4 Spencer St,3,h,959000.0,Barry,3081,Eastern Metropolitan,2947,8.8,Banyule City Council,-37.7523,145.045725
184,Heidelberg West,1 Mulberry Pde,3,h,720000.0,Fletchers,3081,Eastern Metropolitan,2674,8.8,Banyule City Council,-37.7523,145.045725
185,Highett,2 Hazel Av,3,h,1322000.0,Buxton,3190,Southern Metropolitan,4794,16.0,Bayside City Council,-37.9498,145.0343
186,Hillside,5 Anastasia Ct,4,h,612500.0,Sweeney,3037,Western Metropolitan,5556,18.0,Brimbank City Council,-37.7184,144.75860000000003
187,Hoppers Crossing,98 Barber Dr,4,h,715000.0,Greg,3029,Western Metropolitan,13830,18.4,Wyndham City Council,-37.801,144.6994
188,Hoppers Crossing,30 Elder Rd,4,h,686500.0,Ray,3029,Western Metropolitan,13830,18.4,Wyndham City Council,-37.801,144.6994
189,Hughesdale,2 Arthur St,2,h,1065000.0,hockingstuart,3166,Southern Metropolitan,3145,12.3,Monash City Council,-37.9016,145.10004999999998
